Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Omni 1:3	56	the	the	the	the	the	the	the	the
Omni 1:3	56.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	57	commandments	commandments	commandments	commandments	commandments	commandments	commandments	commandments
Omni 1:3	57.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	58	of	of	of	of	of	of	of	of
Omni 1:3	58.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	59	my	my	my	my	my	my	my	my
Omni 1:3	59.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	60	fathers	fathers	fathers	fathers	fathers	fathers	fathers	fathers
Omni 1:3	60.01	;	;	;	;	;	;	;	;
Omni 1:3	60.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	61	and	and	and	and	and	and	and	and
Omni 1:3	61.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	62	I	I	I	I	I	I	I	I
Omni 1:3	62.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	63	conferred	conferred	conferred	conferred	conferred	conferred	conferred	conferred
Omni 1:3	63.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	64	them	them	them	them	them	them	them	them
Omni 1:3	64.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	65	upon	upon	upon	upon	upon	upon	upon	upon
Omni 1:3	65.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	66	my	my	my	my	my	my	my	my
Omni 1:3	66.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	67	son	son	son	son	son	son	son	son
Omni 1:3	67.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	68	Amaron	Amaron	Amaron	Amaron	Amaron	Amaron	Amaron	Amaron
Omni 1:3	68.01	.	.	.	.	.	.	.	.
Omni 1:3	68.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	69	And	And	And	And	And	And	And	And
Omni 1:3	69.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	70	I	I	I	I	I	I	I	I
Omni 1:3	70.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	71	make	make	make	make	make	make	make	make
Omni 1:3	71.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	72	an	an	an	an	an	an	an	an
Omni 1:3	72.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	73	end	end	end	end	end	end	end	end
Omni 1:3	73.01	.	.	.	.	.	.	.	.
Omni 1:4	1	And	And	And	And	And	And	And	And
Omni 1:4	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	2	now	now	now	now	now	now	now	now
Omni 1:4	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	3	I	I	I	I	I	I	I	I
Omni 1:4	3.01	,	,	,	,	,	,	,	,
Omni 1:4	3.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	4	Amaron	Amaron	Amaron	Amaron	Amaron	Amaron	Amaron	Amaron
Omni 1:4	4.01	,	,	,	,	,	,	,	,
Omni 1:4	4.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	5	write	write	write	write	write	write	write	write
Omni 1:4	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	6	the	the	the	the	the	the	the	the
Omni 1:4	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	7	things	things	things	things	things	things	things	things
Omni 1:4	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	8	whatsoever	whatsoever	whatsoever	whatsoever	whatsoever	whatsoever	whatsoever	whatsoever
Omni 1:4	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	9	I	I	I	I	I	I	I	I
Omni 1:4	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	10	write	write	write	write	write	write	write	write
Omni 1:4	10.01	,	,	,	,	,	,	,	,
Omni 1:4	10.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	11	which	which	which	which	which	which	which	which
Omni 1:4	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	12	are	are	are	are	are	are	are	are
Omni 1:4	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	13	few	few	few	few	few	few	few	few
Omni 1:4	13.01	,	,	,	,	,	,	,	,
Omni 1:4	13.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	14	in	in	in	in	in	in	in	in
Omni 1:4	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:4	15	the	the	the	the	the	the	the	the
