Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Ether 1:4	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	21	had	had	had	had	had	had	had	had
Ether 1:4	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	22	upon	upon	upon	upon	upon	upon	upon	upon
Ether 1:4	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	23	the	the	the	the	the	the	the	the
Ether 1:4	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	24	plates	plates	plates	plates	plates	plates	plates	plates
Ether 1:4	24.01	;	;	;	;	;	;	;	;
Ether 1:4	24.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	25	and	and	and	and	and	and	and	and
Ether 1:4	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	26	whoso	whoso	whoso	whoso	whoso	whoso	whoso	whoso
Ether 1:4	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	27	findeth	findeth	findeth	findeth	findeth	findeth	findeth	findeth
Ether 1:4	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	28	them	them	them	them	them	them	them	them
Ether 1:4	28.01	,	,	,	,	,	,	,	,
Ether 1:4	28.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	29	the	the	the	the	the	the	the	the
Ether 1:4	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	30	same	same	same	same	same	same	same	same
Ether 1:4	30.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	31	will	will	will	will	will	will	will	will
Ether 1:4	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	32	have	have	have	have	have	have	have	have
Ether 1:4	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	33	power	power	power	power	power	power	power	power
Ether 1:4	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	34	that	that	that	that	that	that	that	that
Ether 1:4	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	35	he	he	he	he	he	he	he	he
Ether 1:4	35.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	36	may	may	may	may	may	may	may	may
Ether 1:4	36.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	37	get	get	get	get	get	get	get	get
Ether 1:4	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	38	the	the	the	the	the	the	the	the
Ether 1:4	38.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	39	full	full	full	full	full	full	full	full
Ether 1:4	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:4	40	account	account	account	account	account	account	account	account
Ether 1:4	40.01	.	.	.	.	.	.	.	.
Ether 1:5	1	But	But	But	But	But	But	But	But
Ether 1:5	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	2	behold	behold	behold	behold	behold	behold	behold	behold
Ether 1:5	2.01	,	,	,	,	,	,	,	,
Ether 1:5	2.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	3	I	I	I	I	I	I	I	I
Ether 1:5	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	4	give	give	give	give	give	give	give	give
Ether 1:5	4.01	∅	∅	,	∅	∅	∅	∅	∅
Ether 1:5	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	5	not	not	not	not	not	not	not	not
Ether 1:5	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	6	the	the	the	the	the	the	the	the
Ether 1:5	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	7	full	full	full	full	full	full	full	full
Ether 1:5	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	8	account	account	account	account	account	account	account	account
Ether 1:5	8.01	,	,	,	,	,	,	,	,
Ether 1:5	8.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	9	but	but	but	but	but	but	but	but
Ether 1:5	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	10	a	a	a	a	a	a	a	a
Ether 1:5	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	11	part	part	part	part	part	part	part	part
Ether 1:5	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	12	of	of	of	of	of	of	of	of
Ether 1:5	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	13	the	the	the	the	the	the	the	the
Ether 1:5	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	14	account	account	account	account	account	account	account	account
Ether 1:5	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	15	I	I	I	I	I	I	I	I
Ether 1:5	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	16	give	give	give	give	give	give	give	give
Ether 1:5	16.01	,	,	,	,	,	,	,	,
